file,ID,rt,gt,bt,distance,r/g,g/b,b/r,r,g,b,hue
f5.jpg,0,0.420091903,0.344699731,0.235208366,3.306055051,1.218718397,1.46550795,0.559897405,37.44632768,30.7259887,20.96610169,35.53308195
f10.jpg,0,0.377166628,0.369655651,0.253177721,8.836288814,1.02031885,1.460063898,0.671262255,181.3333333,177.7222222,121.7222222,56.36533086
f15.jpg,0,0.394022176,0.340269966,0.265707858,4.506939094,1.157969303,1.280616873,0.674347471,98.08,84.7,66.14,34.86537257
f20.jpg,0,0.387487677,0.341439369,0.271072954,3.337497399,1.134865255,1.259584786,0.699565356,68.35507246,60.23188406,47.81884058,36.26676077
f25.jpg,0,0.394954161,0.345160613,0.259885226,3.735713527,1.144261963,1.328127104,0.658013644,58.18041237,50.84536082,38.28350515,37.88082901
f30.jpg,0,0.422450694,0.344701364,0.232847942,4.105263158,1.22555562,1.480371102,0.551183712,65.59006211,53.51863354,36.15217391,35.39613883
f35.jpg,0,0.397463838,0.338556043,0.263980119,4.635472285,1.173997175,1.282505832,0.664161351,67.26274945,57.29379157,44.67331855,33.52135717
f40.jpg,0,0.42038647,0.346502412,0.233111118,6.184538844,1.213228123,1.486425936,0.554516223,99.15942029,81.73188406,54.98550725,36.32874016
f45.jpg,0,0.377314112,0.332397572,0.290288316,5.006246099,1.135128966,1.145060115,0.769354514,99.46,87.62,76.52,29.03225806
f50.jpg,0,0.409317655,0.35266346,0.238018885,4.506939094,1.160646628,1.481661677,0.581501632,91.9,79.18,53.44,40.15600624
f55.jpg,0,0.398359206,0.350068776,0.251572018,3.8,1.137945551,1.391525093,0.631520533,90.1,79.17777778,56.9,40.26104418
f60.jpg,0,0.452118511,0.355847405,0.192034084,4.8,1.270540421,1.853042948,0.424742803,128.5222222,101.1555556,54.58888889,37.79080252
f65.jpg,0,0.404337191,0.337250925,0.258411884,4.428571429,1.198920927,1.305090615,0.639099963,76.15168539,63.51685393,48.66853933,32.4161897
f70.jpg,0,0.440674468,0.345091685,0.214233847,3.392984774,1.276977939,1.610817754,0.486149897,49.9592721,39.12305026,24.28769497,34.67341772
f75.jpg,0,0.401999474,0.344401849,0.253598677,5.201716182,1.167239592,1.35805854,0.630843306,48.39819005,41.4638009,30.53167421,36.7126757
f80.jpg,0,0.400162305,0.335078109,0.264759586,4.791574237,1.194235892,1.26559387,0.661630501,55.40449438,46.39325843,36.65730337,31.1597243
f85.jpg,0,0.375954019,0.333458965,0.290587016,5.458563764,1.127437129,1.147535668,0.772932331,95,84.26190476,73.42857143,30.13245033
f90.jpg,0,0.413192818,0.344262295,0.242544887,5.006246099,1.200226757,1.419375603,0.5870017,105.86,88.2,62.14,35.76395242
f95.jpg,0,0.480778753,0.333148482,0.186072765,3.597050946,1.443136556,1.790420436,0.387023687,136.3764045,94.5,52.78089888,29.94354839
f100.jpg,0,0.43798707,0.348432519,0.213580411,3.907124902,1.257021222,1.631387996,0.487640904,90.74770642,72.19266055,44.25229358,36.05564325
f105.jpg,0,0.452868622,0.349283313,0.197848065,3.339737438,1.296565295,1.765411824,0.436877397,61.84129693,47.69624573,27.01706485,35.62895085
